,date,temperature
0,2014-09-01,
1,2014-09-01,
2,2014-09-01,
3,2014-09-01,
4,2014-09-01,
5,2014-09-01,
6,2014-09-01,
7,2014-09-01,
8,2014-09-01,
9,2014-09-01,
10,2014-09-01,
11,2014-09-01,
12,2014-09-01,
13,2014-09-01,
14,2014-09-01,
15,2014-09-01,
16,2014-09-01,
17,2014-09-01,
18,2014-09-01,
19,2014-09-01,
20,2014-09-01,
21,2014-09-01,
22,2014-09-01,
23,2014-09-01,
24,2014-09-02,
25,2014-09-02,
26,2014-09-02,
27,2014-09-02,
28,2014-09-02,
29,2014-09-02,
30,2014-09-02,
31,2014-09-02,
32,2014-09-02,
33,2014-09-02,
34,2014-09-02,
35,2014-09-02,
36,2014-09-02,
37,2014-09-02,
38,2014-09-02,
39,2014-09-02,
40,2014-09-02,
41,2014-09-02,
42,2014-09-02,
43,2014-09-02,
44,2014-09-02,
45,2014-09-02,
46,2014-09-02,
47,2014-09-02,
120,2014-09-06,
121,2014-09-06,
122,2014-09-06,
123,2014-09-06,
124,2014-09-06,
125,2014-09-06,
126,2014-09-06,
127,2014-09-06,
128,2014-09-06,
129,2014-09-06,
130,2014-09-06,
131,2014-09-06,
132,2014-09-06,
133,2014-09-06,
134,2014-09-06,
135,2014-09-06,
136,2014-09-06,
137,2014-09-06,
138,2014-09-06,
139,2014-09-06,
140,2014-09-06,
141,2014-09-06,
142,2014-09-06,
143,2014-09-06,
144,2014-09-07,
145,2014-09-07,
146,2014-09-07,
147,2014-09-07,
148,2014-09-07,
149,2014-09-07,
150,2014-09-07,
151,2014-09-07,
152,2014-09-07,
153,2014-09-07,
154,2014-09-07,
155,2014-09-07,
156,2014-09-07,
157,2014-09-07,
158,2014-09-07,
159,2014-09-07,
160,2014-09-07,
161,2014-09-07,
162,2014-09-07,
163,2014-09-07,
164,2014-09-07,
165,2014-09-07,
166,2014-09-07,
167,2014-09-07,
192,2014-09-09,
193,2014-09-09,
194,2014-09-09,
195,2014-09-09,
196,2014-09-09,
197,2014-09-09,
198,2014-09-09,
199,2014-09-09,
200,2014-09-09,
201,2014-09-09,
202,2014-09-09,
203,2014-09-09,
204,2014-09-09,
205,2014-09-09,
206,2014-09-09,
207,2014-09-09,
208,2014-09-09,
209,2014-09-09,
210,2014-09-09,
211,2014-09-09,
212,2014-09-09,
213,2014-09-09,
214,2014-09-09,
215,2014-09-09,
216,2014-09-10,
217,2014-09-10,
218,2014-09-10,
219,2014-09-10,
220,2014-09-10,
221,2014-09-10,
222,2014-09-10,
223,2014-09-10,
224,2014-09-10,
225,2014-09-10,
226,2014-09-10,
227,2014-09-10,
228,2014-09-10,
229,2014-09-10,
230,2014-09-10,
231,2014-09-10,
232,2014-09-10,
233,2014-09-10,
234,2014-09-10,
235,2014-09-10,
236,2014-09-10,
237,2014-09-10,
238,2014-09-10,
239,2014-09-10,
336,2014-09-15,15.465000000000002
337,2014-09-15,14.728333333333332
338,2014-09-15,14.07
339,2014-09-15,13.538333333333334
